Date : 2026-08-14 10:46:52
Directory : /Users/philliphanson/Documents/Design/web/hson/hson-live
Total : 570 files,  125085 codes, 9830 comments, 19357 blanks, all 154272 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        470 |     93,675 |      9,110 |     11,078 |    113,863 |
| Markdown           |         73 |     17,081 |        618 |      7,842 |     25,541 |
| JSON               |          9 |      8,307 |          0 |          9 |      8,316 |
| JavaScript         |         16 |      5,978 |         19 |        413 |      6,410 |
| JSON with Comments |          2 |         44 |         83 |         15 |        142 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |        570 |    125,085 |      9,830 |     19,357 |    154,272 |
| . (Files)                                                                                                                           |          7 |      4,014 |         83 |        327 |      4,424 |
| benchmarks                                                                                                                          |          3 |        433 |          2 |         36 |        471 |
| docs                                                                                                                                |         67 |     21,113 |        618 |      7,452 |     29,183 |
| docs (Files)                                                                                                                        |         10 |      1,649 |         39 |        683 |      2,371 |
| docs/contracts                                                                                                                      |         20 |     10,367 |        566 |      3,255 |     14,188 |
| docs/contracts (Files)                                                                                                              |         15 |      2,631 |          0 |        913 |      3,544 |
| docs/contracts/authored-hson-review                                                                                                 |          5 |      7,736 |        566 |      2,342 |     10,644 |
| docs/livehost                                                                                                                       |          4 |        693 |          0 |        308 |      1,001 |
| docs/livemap                                                                                                                        |         11 |      2,402 |         13 |      1,094 |      3,509 |
| docs/livetree                                                                                                                       |          2 |      1,167 |          0 |        285 |      1,452 |
| docs/plans                                                                                                                          |          6 |      2,557 |          0 |        837 |      3,394 |
| docs/release-notes                                                                                                                  |         13 |      2,000 |          0 |        853 |      2,853 |
| docs/transform                                                                                                                      |          1 |        278 |          0 |        137 |        415 |
| src                                                                                                                                 |        300 |     55,993 |      8,764 |      6,965 |     71,722 |
| src (Files)                                                                                                                         |          3 |        532 |         11 |         10 |        553 |
| src/_tests                                                                                                                          |          3 |      2,097 |         35 |         60 |      2,192 |
| src/api                                                                                                                             |        222 |     43,512 |      6,394 |      5,438 |     55,344 |
| src/api/livehost                                                                                                                    |         31 |     10,293 |        109 |        765 |     11,167 |
| src/api/livehost (Files)                                                                                                            |         25 |      9,004 |         93 |        691 |      9,788 |
| src/api/livehost/node                                                                                                               |          6 |      1,289 |         16 |         74 |      1,379 |
| src/api/liveinspect                                                                                                                 |          4 |      1,679 |          6 |        125 |      1,810 |
| src/api/livemap                                                                                                                     |         50 |     13,499 |        926 |      1,437 |     15,862 |
| src/api/livetree                                                                                                                    |         59 |      8,517 |      3,089 |      1,874 |     13,480 |
| src/api/livetree (Files)                                                                                                            |          5 |        613 |        289 |         91 |        993 |
| src/api/livetree/creation                                                                                                           |          7 |        671 |        147 |        129 |        947 |
| src/api/livetree/debug                                                                                                              |          1 |         94 |          0 |          7 |        101 |
| src/api/livetree/lifecycle                                                                                                          |          4 |        267 |         10 |         51 |        328 |
| src/api/livetree/managers                                                                                                           |         20 |      3,815 |      1,706 |        943 |      6,464 |
| src/api/livetree/managers (Files)                                                                                                   |         18 |      3,480 |      1,672 |        853 |      6,005 |
| src/api/livetree/managers/canvas                                                                                                    |          2 |        335 |         34 |         90 |        459 |
| src/api/livetree/methods                                                                                                            |         13 |      2,157 |        578 |        495 |      3,230 |
| src/api/livetree/methods (Files)                                                                                                    |         10 |      1,812 |        567 |        392 |      2,771 |
| src/api/livetree/methods/create                                                                                                     |          3 |        345 |         11 |        103 |        459 |
| src/api/livetree/quid                                                                                                               |          1 |        390 |        129 |         52 |        571 |
| src/api/livetree/runtime                                                                                                            |          1 |        178 |         30 |         21 |        229 |
| src/api/livetree/utils                                                                                                              |          7 |        332 |        200 |         85 |        617 |
| src/api/reflect                                                                                                                     |          8 |      2,631 |         14 |        177 |      2,822 |
| src/api/transform                                                                                                                   |         70 |      6,893 |      2,250 |      1,060 |     10,203 |
| src/api/transform (Files)                                                                                                           |         10 |        390 |        149 |         67 |        606 |
| src/api/transform/constructors                                                                                                      |          4 |        378 |        167 |         71 |        616 |
| src/api/transform/parsers                                                                                                           |          7 |      2,831 |        539 |        357 |      3,727 |
| src/api/transform/serializers                                                                                                       |          3 |        967 |        314 |        111 |      1,392 |
| src/api/transform/utils                                                                                                             |         46 |      2,327 |      1,081 |        454 |      3,862 |
| src/api/transform/utils/attrs-utils                                                                                                 |          5 |        146 |        161 |         41 |        348 |
| src/api/transform/utils/hson-utils                                                                                                  |         10 |        473 |        245 |        118 |        836 |
| src/api/transform/utils/html-preflights                                                                                             |         12 |        882 |        323 |        161 |      1,366 |
| src/api/transform/utils/html-utils                                                                                                  |          7 |        380 |        167 |         68 |        615 |
| src/api/transform/utils/json-utils                                                                                                  |          5 |        269 |         69 |         33 |        371 |
| src/api/transform/utils/node-utils                                                                                                  |          2 |        126 |         46 |          9 |        181 |
| src/api/transform/utils/primitive-utils                                                                                             |          3 |         48 |         61 |         20 |        129 |
| src/api/transform/utils/sys-utils                                                                                                   |          2 |          3 |          9 |          4 |         16 |
| src/core                                                                                                                            |         31 |      3,112 |        207 |        425 |      3,744 |
| src/diagnostics                                                                                                                     |         11 |      2,085 |        142 |        220 |      2,447 |
| src/safety                                                                                                                          |          6 |        274 |        479 |         44 |        797 |
| src/types                                                                                                                           |         24 |      4,381 |      1,496 |        768 |      6,645 |
| tests                                                                                                                               |        193 |     43,532 |        363 |      4,577 |     48,472 |
| tests (Files)                                                                                                                       |        135 |     32,609 |        244 |      3,728 |     36,581 |
| tests/certified-corpus                                                                                                              |         23 |      3,122 |          8 |        330 |      3,460 |
| tests/entrypoints                                                                                                                   |         13 |      1,529 |         92 |         60 |      1,681 |
| tests/fixtures                                                                                                                      |          1 |        197 |          0 |         16 |        213 |
| tests/helpers                                                                                                                       |          3 |        158 |          2 |         28 |        188 |
| tests/livemap-operators                                                                                                             |          6 |        395 |          0 |         40 |        435 |
| tests/runtime-probes                                                                                                                |         12 |      5,522 |         17 |        375 |      5,914 |
| tests/runtime-probes (Files)                                                                                                        |         11 |      5,509 |         17 |        372 |      5,898 |
| tests/runtime-probes/fixtures                                                                                                       |          1 |         13 |          0 |          3 |         16 |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                            | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/philliphanson/Documents/Design/web/hson/hson-live/CHANGELOG.md                                                               | Markdown           |        199 |          0 |         58 |        257 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/README3.md                                                                 | Markdown           |        174 |          0 |         64 |        238 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/agents.md                                                                  | Markdown           |         27 |          0 |         13 |         40 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/benchmarks/hson-node-representation.mjs                                    | JavaScript         |         54 |          0 |          6 |         60 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/benchmarks/livetree-allocation.mjs                                         | JavaScript         |         55 |          0 |         11 |         66 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/benchmarks/quid-scale.mjs                                                  | JavaScript         |        324 |          2 |         19 |        345 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/TODO.md                                                               | Markdown           |        177 |          0 |         55 |        232 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/contracts/authored-hson-review/01-authored-source-verdicts.md         | Markdown           |      2,249 |        556 |      2,236 |      5,041 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/contracts/authored-hson-review/02-authored-source-verdict-ledger.json | JSON               |      5,068 |          0 |          1 |      5,069 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/contracts/authored-hson-review/03-authored-source-reconciliation.md   | Markdown           |        189 |          0 |         38 |        227 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/contracts/authored-hson-review/04-focused-reconciliation.md           | Markdown           |        182 |         10 |         54 |        246 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/contracts/authored-hson-review/05-quoted-name-delimiter-amendment.md  | Markdown           |         48 |          0 |         13 |         61 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/contracts/canonical-hson-digests-v1-design.md                         | Markdown           |        484 |          0 |        107 |        591 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/contracts/certified-authored-hson-corpus.md                           | Markdown           |         77 |          0 |         21 |         98 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/contracts/hson-node-representation.md                                 | Markdown           |        160 |          0 |         31 |        191 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/contracts/livehost-recovery.md                                        | Markdown           |        481 |          0 |        244 |        725 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/contracts/liveinspect-experimental.md                                 | Markdown           |         48 |          0 |         32 |         80 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/contracts/livemap-host-authority.md                                   | Markdown           |        213 |          0 |         96 |        309 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/contracts/livemap-identity.md                                         | Markdown           |        300 |          0 |        103 |        403 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/contracts/livemap-lifecycle.md                                        | Markdown           |        195 |          0 |         98 |        293 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/contracts/livemap-mutation.md                                         | Markdown           |        335 |          0 |         87 |        422 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/contracts/livetree-allocation.md                                      | Markdown           |         36 |          0 |         10 |         46 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/contracts/livetree-batch-attachment.md                                | Markdown           |          8 |          0 |          8 |         16 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/contracts/livetree-lifecycle-foundations.md                           | Markdown           |         60 |          0 |         13 |         73 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/contracts/reflect-collection-experimental.md                          | Markdown           |        126 |          0 |         38 |        164 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/contracts/reflect-document-attrs-experimental.md                      | Markdown           |         67 |          0 |         13 |         80 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/contracts/transform-test-oracle.md                                    | Markdown           |         41 |          0 |         12 |         53 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/hson-html.md                                                          | Markdown           |        108 |          0 |         56 |        164 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/hson-json.md                                                          | Markdown           |         77 |          0 |         43 |        120 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/hson-livehost.md                                                      | Markdown           |        187 |         13 |         92 |        292 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/hson-livemap.md                                                       | Markdown           |        354 |         13 |        149 |        516 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/hson-livetree.md                                                      | Markdown           |        114 |         13 |         71 |        198 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/hson-nodes.md                                                         | Markdown           |        175 |          0 |         57 |        232 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/hson-syntax.md                                                        | Markdown           |        182 |          0 |         96 |        278 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/inspector-release-notes.md                                            | Markdown           |          4 |          0 |          3 |          7 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/livehost/api-livehost.md                                              | Markdown           |        323 |          0 |        112 |        435 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/livehost/authority.md                                                 | Markdown           |          0 |          0 |          1 |          1 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/livehost/overview.md                                                  | Markdown           |        370 |          0 |        194 |        564 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/livehost/persistence.md                                               | Markdown           |          0 |          0 |          1 |          1 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/livemap/api-livemap.md                                                | Markdown           |        381 |          0 |        187 |        568 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/livemap/capture-replay.md                                             | Markdown           |          0 |          0 |          1 |          1 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/livemap/document-map.md                                               | Markdown           |          0 |          0 |          1 |          1 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/livemap/handle-proxy.md                                               | Markdown           |        108 |          0 |         38 |        146 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/livemap/hson-livemap.md                                               | Markdown           |        517 |         13 |        166 |        696 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/livemap/identity.md                                                   | Markdown           |          0 |          0 |          2 |          2 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/livemap/mutate-commit.md                                              | Markdown           |          0 |          0 |          1 |          1 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/livemap/overview.md                                                   | Markdown           |      1,396 |          0 |        695 |      2,091 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/livemap/projected-data.md                                             | Markdown           |          0 |          0 |          1 |          1 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/livemap/schema.md                                                     | Markdown           |          0 |          0 |          1 |          1 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/livemap/subscribe-feed.md                                             | Markdown           |          0 |          0 |          1 |          1 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/livetree-runtime-scope.md                                             | Markdown           |        271 |          0 |         61 |        332 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/livetree/api-css-manager.md                                           | Markdown           |        450 |          0 |        137 |        587 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/livetree/api-livetree.md                                              | Markdown           |        717 |          0 |        148 |        865 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/plans/circuit-livehost-worker-audit.md                                | Markdown           |        496 |          0 |        158 |        654 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/plans/connectivity-layer-fascia-audit.md                              | Markdown           |        312 |          0 |        122 |        434 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/plans/quid-path-authority-refactor-plan.md                            | Markdown           |        641 |          0 |        210 |        851 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/plans/quid-scale-and-namespace-proof.md                               | Markdown           |        422 |          0 |         70 |        492 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/plans/quid-scope-and-encoding-audit.md                                | Markdown           |        366 |          0 |        124 |        490 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/plans/reflected-identity-coordination-audit.md                        | Markdown           |        320 |          0 |        153 |        473 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/release-notes/v-3-3.md                                                | Markdown           |        973 |          0 |        494 |      1,467 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/release-notes/v2-1-release-notes.md                                   | Markdown           |         63 |          0 |         33 |         96 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/release-notes/v2-2-1-release-notes.md                                 | Markdown           |          7 |          0 |          4 |         11 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/release-notes/v2-2-release-notes.md                                   | Markdown           |         96 |          0 |         52 |        148 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/release-notes/v2-3-1-release-notes.md                                 | Markdown           |        130 |          0 |         24 |        154 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/release-notes/v2-3-3-release-notes.md                                 | Markdown           |         23 |          0 |          2 |         25 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/release-notes/v2-3-4-release-notes.md                                 | Markdown           |          1 |          0 |          0 |          1 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/release-notes/v2-3-5-release-notes.md                                 | Markdown           |        104 |          0 |         46 |        150 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/release-notes/v3-0-0-release-notes.md                                 | Markdown           |        257 |          0 |         83 |        340 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/release-notes/v3-1-0-release-notes.md                                 | Markdown           |          0 |          0 |          1 |          1 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/release-notes/v3-2-0-release-notes.md                                 | Markdown           |        147 |          0 |         84 |        231 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/release-notes/v3-2-1.md                                               | Markdown           |        170 |          0 |         23 |        193 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/release-notes/v3-lifecycle-migration.md                               | Markdown           |         29 |          0 |          7 |         36 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/transform/api-transform.md                                            | Markdown           |        278 |          0 |        137 |        415 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/package-lock.json                                                          | JSON               |      2,922 |          0 |          1 |      2,923 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/package.json                                                               | JSON               |        239 |          0 |          1 |        240 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/readme.md                                                                  | Markdown           |        433 |          0 |        176 |        609 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/_tests/test-exports.ts                                                 | TypeScript         |        187 |         23 |         17 |        227 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/_tests/test-launchers.ts                                               | TypeScript         |      1,328 |          8 |          8 |      1,344 |
